,ArgProSer,CT,1c3moxybenz+benzsulfa+dodecymebr,AlaArgGluGly,ACGT,AC,AG,ProSerThr,benzsulfa+16diph135hex+nmpyrr+pyrene,benzene+dodecymebr,AlaArg,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
238.0,0,79043,0,6663,16536,0,0,0,15812,0,2736,0,1959,0,0,0,0
239.0,4611,20675,5582,2936,10303,9603,3053,4160,9675,3994,4415,2089,0,0,0,3180,7126
240.0,0,6123,0,5823,2497,2007,0,2059,5221,0,2648,0,0,0,0,0,24036
241.0,4777,8250,2346,3202,5228,12850,3983,3217,0,5217,4295,0,3121,16639,20251,27027,121215
242.0,0,3594,1774,0,0,5691,0,2282,5136,4504,0,1912,5132,6633,3540,4319,19355
243.0,0,8244,0,0,5243,10407,2517,0,7722,3781,3585,5493,16140,9828,0,0,2799
244.0,0,4266,0,3378,0,6365,0,0,18976,2480,0,3778,10990,5119,0,0,0
245.0,0,5359,0,0,0,7160,2473,0,14533,2774,2530,6830,11635,6149,0,0,0
246.0,0,0,0,3414,0,5851,0,0,6689,0,2951,0,5168,0,0,0,0
247.0,0,3390,3505,0,1633092,1726000,0,0,4038,0,0,1383,3597,2347,0,0,0
248.0,0,1691,0,2839,285970,316173,0,0,12763,0,2610,0,0,0,0,0,0
249.0,0,5210,4711,0,63834,80312,2259,0,25846,2135,2885,2311,0,0,0,0,2993
250.0,0,0,3459,0,37489,39546,0,0,54836,3156,0,0,2202,2655,0,0,1964
251.0,3334,9685,5291,0,26860,29730,3168,3173,41052,6036,3220,3599,1525,2586,0,3394,0
252.0,0,9035,1965,24533,18970,17028,0,0,13565,0,1685,0,2421,0,0,0,0
253.0,3551,2774228,3542,5596,683742,11178,0,3611,111025,0,0,0,0,0,0,0,0
254.0,0,478519,0,2690,124096,6035,1347,0,52842,0,0,0,0,0,0,0,0
255.0,3835,148170,5084,0,42194,10624,2764,3279,46112,3546,4900,0,4489,19638,0,0,10574
256.0,0,64747,0,0,19556,8480,0,0,93004,0,0,3643,6056,6811,0,0,3703
