,N-methylpyrrole,246-Trimethylpyridine,Nile red,Methylcyclopentane,Cyclopentane,Pyridine,1234-tetrafluorobenzene,Asn,Arg,Ala,Glu,Leu,Phe,Cys,Ser,Ile,Gln,Met,Trp,Asp,Val,Gly,Pro,Tyr,Lys,His,Thr,Benzene,Benzenesulfonic acid,Pyrene,Phenanthrene,P2,ZnPh,P1,Purine,Thymine,2-methoxynaphthalene,Adenine,Hypoxanthine,Cytosine,22-bipyridyl,Guanine,213-Benzothiadiazole,Pyrimidine,1-methoxy-3-methylbenzene,Biphenyl,Xanthine,26-Diaminopurine,1-Chloro-3-methoxybenzene,Trimethyloctadecylammonium bromide,Sodium n-decyl sulfate,Decyltrimethylammonium bromide,Sodium n-octadecyl sulfate,Dodecylamine,Tridecanoic acid,Dodecanoic acid,Dodecyltrimethylammonium bromide,16-diphenyl-135-hexatriene
96.0,87934,0,790,7035,1625,6858,0,5790,10476,0,4496,0,0,4896,0,3659,4920,9256,0,5437,0,1510,3837,3350,5502,5666,1649,466856,2395,0,0,979,0,1611,2814,0,4154,1743,4139,1097,5445,3946,4566,14794,3764,3603,3399,3717,2927,3119,12720,32093,15459,1796,29279,4304,2258,0
97.0,95214,975,14708,92595,19398,11478,14117,50814,35246,11157,30677,11704,11636,38937,3723,27810,34964,21233,10793,38410,13148,14637,20974,28389,32315,242810,16033,261686,24862,3687,6520,25301,11047,30039,14159,11048,22267,14880,35697,14888,35433,24122,32504,112438,15299,26050,30829,29637,21433,26286,179477,29552,46299,2982,39824,25064,39901,2548
98.0,739771,0,4052,43643,4993,9503,5373,171979,12016,5529,10439,4320,5274,8331,3090,9140,9384,14316,2220,12417,6394,5955,9428,6338,16913,31382,4133,99217,6178,1549,1301,7887,1922,6350,7365,4396,9536,5188,27200,10761,11972,6554,12871,19783,5215,7070,18468,9676,8721,7179,25981,15726,11462,10019,25902,7779,5838,0
99.0,170733,1320,17381,2119125,23521,11810,16822,69104,54639,11236,60565,15287,13409,59021,6492,38897,52798,39082,13445,63141,17667,21057,24106,54371,49065,81160,26987,188838,21751,6070,11335,34965,17365,40579,20013,16077,25938,22962,48648,61164,40669,42702,38131,27845,16132,31171,49878,40882,34858,31184,202243,75801,203579,6455,463306,24705,39136,3778
100.0,26179,0,5486,318921,6361,4151,5558,17927,17582,6725,72532,18500,5402,15714,5561,18648,28961,206452,5306,30103,8054,9080,8307,10816,35277,20875,6811,37896,5809,1731,2830,9149,3091,8888,11264,7875,10295,8242,16229,52808,14887,13250,15395,49814,14427,11958,12741,12746,13496,9048,26092,10189,22380,13706,49309,6555,6486,0
101.0,4776,3955,17665,345712,24014,9308,15375,75807,50733,14303,85969,14693,16233,64062,6154,34055,53798,107945,14118,64640,24892,21487,25981,38202,63466,72661,19897,64647,19709,5470,10938,35404,17999,42289,19705,16934,23494,31940,50575,52714,41296,38914,39934,15352,17323,37137,47786,41307,22131,24144,261242,22999,19821,6989,42038,25057,30402,3285
102.0,2592,0,6595,30592,6367,1986,8816,19321,20448,6945,130208,21287,4966,13043,14905,20947,38223,231924,4576,17019,7895,17888,8441,8007,19148,14549,275437,22469,5333,1710,4705,6211,7445,9613,10865,13295,10405,9115,10644,11358,12484,28894,15930,156335,34642,11193,9201,11891,17359,9490,26869,5416,6961,15567,9281,6730,8127,0
103.0,0,0,7826,11441,27960,4163,12949,65104,24259,3954,46252,6648,10057,19347,3081,18951,28172,37395,9233,27374,7573,8833,9182,13939,78487,25815,36060,38681,8766,1264,4038,10412,6200,18677,8372,4669,10648,8396,25155,12879,18209,14705,18946,26707,7883,15692,24361,21788,15379,12662,45857,9737,5777,1322,25430,9018,11304,0
104.0,1377,0,2283,3123,3033,1522,6193,16426,11739,3726,8458,4354,3967,5178,13844,6206,5870,1733584,4107,11974,8817,5600,2027,2802,9771,7452,4866,15468,2438,0,1384,2422,2572,2183,2848,0,4432,3574,4129,17006,5166,7702,5676,5239,2212,3841,5365,5036,4444,3156,9136,938,1549,0,2469,1973,0,0
105.0,0,0,4341,6105,6426,3993,4344,13288,9039,0,8133,3271,5876,13505,35501,6331,9428,203249,4039,12796,2550,2534,3328,5744,4751,9963,4749,45095,4779,0,0,7994,2452,7379,3602,1205,4801,4049,8243,5810,7595,6106,8108,2887,4748,15221,8421,7731,5978,5993,15535,4618,3084,1196,5736,5743,3839,53255
